material_id	material	brand_owner_id	brand_owner	brand_id	brand	subbrand_id	subbrand	subgroup_id	subgroup	pack_type_id	pact_type	pack_size_id	pack_size	pack_empty_id	pack_empty	category_id	category	line_id	line	subline_id	subline	product_id	product
B9LRA	GRIMBERGEN DOUBLE MODULAR 20 fusto 20L	0440	CARLSBERG	0828	GRIMBERGEN	0830	GRIMBERGEN DOUBLE	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	235	BIRRA FS GRUPPO CI	230	BIRRA GRIMBERGEN FS	0016	BELGHE
B9LRE	BAP 5 Luppoli Bock Chiara MODULAR 20 fs	0440	CARLSBERG	1077	BAP	1045	BAP 5	9003	CI-SPECIALTIES	0016	MOD 20	0008	LT   20	227	Fs ACEII Birra Spec.	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9LRI	GRIMBERGEN BLANCHE MODULAR 20 fusto 20L	0440	CARLSBERG	0828	GRIMBERGEN	0760	GRIMBERGEN BLANCHE	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	235	BIRRA FS GRUPPO CI	230	BIRRA GRIMBERGEN FS	0016	BELGHE
B9LRO	BAP 4 Luppoli Lager MODULAR 20 fs 20	0440	CARLSBERG	1077	BAP	1044	BAP 4	9001	CI-LAGER	0016	MOD 20	0008	LT   20	225	Fs ACEII Birra Lager	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9LRU	GRIMBERGEN BLONDE MODULAR 20 fusto 20L	0440	CARLSBERG	0828	GRIMBERGEN	0804	GRIMBERGEN BLONDE	9002	CI-CRAFT	0016	MOD 20	0008	LT   20	228	Fs ACEII Birra Craft	200	BIRRA	235	BIRRA FS GRUPPO CI	230	BIRRA GRIMBERGEN FS	0016	BELGHE
B9LZA	BAP 6 Luppoli Bock Rossa MODULAR 20 fs	0440	CARLSBERG	1077	BAP	1046	BAP 6	9003	CI-SPECIALTIES	0016	MOD 20	0008	LT   20	227	Fs ACEII Birra Spec.	200	BIRRA	233	BIRRA FS GRUPPO CI	230	BIRRA BAP FS	0061	NAZIONALI
B9LZE	KRONENBOURG 1664 MODULAR 20 fusto 20L	0440	CARLSBERG	0685	KRONENBOURG	0656	KRONENBOURG	9001	CI-LAGER	0016	MOD 20	0008	LT   20	225	Fs ACEII Birra Lager	200	BIRRA	234	BIRRA FS GRUPPO CI	230	BIRRE SPECIALI FS CI	0046	FRANCESI
B9LZI	CARLSBERG MODULAR 20 fusto 20L	0440	CARLSBERG	0701	CARLSBERG	0672	CARLSBERG	9001	CI-LAGER	0016	MOD 20	0008	LT   20	225	Fs ACEII Birra Lager	200	BIRRA	231	BIRRA FS GRUPPO CI	230	BIRRA CARLSBERG FS	0052	DANESI
B9LZO	TUCHER WEIZEN MODULAR 20 fusto 20L	0440	CARLSBERG	0237	TUCHER	1025	TUCHER WEIZEN	9001	CI-LAGER	0016	MOD 20	0008	LT   20	225	Fs ACEII Birra Lager	200	BIRRA	237	BIRRA FS GRUPPO CI	230	BIRRA TUCHER FS	0053	TEDESCHE
B9UCA	CARLSBERG 24 bt 33clx3	0440	CARLSBERG	0701	CARLSBERG	0672	CARLSBERG	9001	CI-LAGER	0003	VAP	0072	CL  33	160	Vap	200	BIRRA	221	BIRRA CONF. CI	220	BIRRA CARLSBERG CF	0052	DANESI
